"PAR_CODIGO(PK)","CAN_CODIGO(FK)","PAR_NOMBRE"
"131753","1317","ATAHUALPA"
"131850","1318","OLMEDO"
"131950","1319","PUERTO LÓPEZ"
"131951","1319","MACHALILLA"
"131952","1319","SALANGO"
"132050","1320","JAMA"
"132150","1321","JARAMIJÓ"
"132250","1322","SAN VICENTE"
"132251","1322","CANOA"
"140150","1401","MACAS"
"140151","1401","ALSHI (CAB. EN 9 DE OCTUBRE)"
"140152","1401","CHIGUAZA"
"140153","1401","GENERAL PROAÑO"
"140154","1401","HUASAGA (CAB.EN WAMPUIK)"
"140155","1401","MACUMA"
"140156","1401","SAN ISIDRO"
"140157","1401","SEVILLA DON BOSCO"
"140158","1401","SINAÍ"
"140159","1401","TAISHA"
"140160","1401","ZUÑA (ZÚÑAC)"
"140161","1401","TUUTINENTZA"
"140162","1401","CUCHAENTZA"
"140163","1401","SAN JOSÉ DE MORONA"
"140164","1401","RÍO BLANCO"
"140201","1402","GUALAQUIZA"
"140202","1402","MERCEDES MOLINA"
"140250","1402","GUALAQUIZA"
"140251","1402","AMAZONAS (ROSARIO DE CUYES)"
"140252","1402","BERMEJOS"
"140253","1402","BOMBOIZA"
"140254","1402","CHIGÜINDA"
"140255","1402","EL ROSARIO"
"140256","1402","NUEVA TARQUI"
"140257","1402","SAN MIGUEL DE CUYES"
"140258","1402","EL IDEAL"
"140350","1403","GENERAL LEONIDAS PLAZA GUTIÉRREZ (LIMÓN)"
"140351","1403","INDANZA"
"140352","1403","PAN DE AZÚCAR"
"140353","1403","SAN ANTONIO (CAB. EN SAN ANTONIO CENTRO"
"140354","1403","SAN CARLOS DE LIMÓN (SAN CARLOS DEL"
"140355","1403","SAN JUAN BOSCO"
"140356","1403","SAN MIGUEL DE CONCHAY"
"140357","1403","SANTA SUSANA DE CHIVIAZA (CAB. EN CHIVIAZA)"
"140358","1403","YUNGANZA (CAB. EN EL ROSARIO)"
"140450","1404","PALORA (METZERA)"
"140451","1404","ARAPICOS"
"140452","1404","CUMANDÁ (CAB. EN COLONIA AGRÍCOLA SEVILLA DEL ORO)"
"140453","1404","HUAMBOYA"
"140454","1404","SANGAY (CAB. EN NAYAMANACA)"
"140550","1405","SANTIAGO DE MÉNDEZ"
"140551","1405","COPAL"
"140552","1405","CHUPIANZA"
"140553","1405","PATUCA"
"140554","1405","SAN LUIS DE EL ACHO (CAB. EN EL ACHO)"
"140555","1405","SANTIAGO"
"140556","1405","TAYUZA"
"140557","1405","SAN FRANCISCO DE CHINIMBIMI"
"140650","1406","SUCÚA"
"140651","1406","ASUNCIÓN"
"140652","1406","HUAMBI"
"140653","1406","LOGROÑO"
"140654","1406","YAUPI"
"140655","1406","SANTA MARIANITA DE JESÚS"
"140750","1407","HUAMBOYA"
"140751","1407","CHIGUAZA"
"140752","1407","PABLO SEXTO"
"140850","1408","SAN JUAN BOSCO"
"140851","1408","PAN DE AZÚCAR"
"140852","1408","SAN CARLOS DE LIMÓN"
"140853","1408","SAN JACINTO DE WAKAMBEIS"
"140854","1408","SANTIAGO DE PANANZA"
"140950","1409","TAISHA"
"140951","1409","HUASAGA (CAB. EN WAMPUIK)"
"140952","1409","MACUMA"
"140953","1409","TUUTINENTZA"
"140954","1409","PUMPUENTSA"
"141050","1410","LOGROÑO"
"141051","1410","YAUPI"
"141052","1410","SHIMPIS"
"141150","1411","PABLO SEXTO"
"141250","1412","SANTIAGO"
"141251","1412","SAN JOSÉ DE MORONA"
"150150","1501","TENA"
"150151","1501","AHUANO"
"150152","1501","CARLOS JULIO AROSEMENA TOLA (ZATZA-YACU)"
"150153","1501","CHONTAPUNTA"
"150154","1501","PANO"
"150155","1501","PUERTO MISAHUALLI"
"150156","1501","PUERTO NAPO"
"150157","1501","TÁLAG"
"150158","1501","SAN JUAN DE MUYUNA"
"150350","1503","ARCHIDONA"
"150351","1503","AVILA"
"150352","1503","COTUNDO"
"150353","1503","LORETO"
"150354","1503","SAN PABLO DE USHPAYACU"
"150355","1503","PUERTO MURIALDO"
"150450","1504","EL CHACO"
"150451","1504","GONZALO DíAZ DE PINEDA (EL BOMBÓN)"
"150452","1504","LINARES"
"150453","1504","OYACACHI"
"150454","1504","SANTA ROSA"
"150455","1504","SARDINAS"
"150750","1507","BAEZA"
"150751","1507","COSANGA"
"150752","1507","CUYUJA"
"150753","1507","PAPALLACTA"
"150754","1507","SAN FRANCISCO DE BORJA (VIRGILIO DÁVILA)"
"150755","1507","SAN JOSÉ DEL PAYAMINO"
"150756","1507","SUMACO"
"150950","1509","CARLOS JULIO AROSEMENA TOLA"
"160150","1601","PUYO"
"160151","1601","ARAJUNO"
"160152","1601","CANELOS"
"160153","1601","CURARAY"
"160154","1601","DIEZ DE AGOSTO"
"160155","1601","FÁTIMA"
"160156","1601","MONTALVO (ANDOAS)"
"160157","1601","POMONA"
"160158","1601","RÍO CORRIENTES"
"160159","1601","RÍO TIGRE"
"160160","1601","SANTA CLARA"
"160161","1601","SARAYACU"
"160162","1601","SIMÓN BOLÍVAR (CAB. EN MUSHULLACTA)"
"160163","1601","TARQUI"
"160164","1601","TENIENTE HUGO ORTIZ"
"160165","1601","VERACRUZ (INDILLAMA) (CAB. EN INDILLAMA)"
"160166","1601","EL TRIUNFO"
"160250","1602","MERA"
"160251","1602","MADRE TIERRA"
"160252","1602","SHELL"
"160350","1603","SANTA CLARA"
"160351","1603","SAN JOSÉ"
"160450","1604","ARAJUNO"
"160451","1604","CURARAY"
"170101","1701","BELISARIO QUEVEDO"
"170102","1701","CARCELÉN"
"170103","1701","CENTRO HISTÓRICO"
"170104","1701","COCHAPAMBA"
"170105","1701","COMITÉ DEL PUEBLO"
"170106","1701","COTOCOLLAO"
"170107","1701","CHILIBULO"
"170108","1701","CHILLOGALLO"
"170109","1701","CHIMBACALLE"
"170110","1701","EL CONDADO"
"170111","1701","GUAMANÍ"
"170112","1701","IÑAQUITO"
"170113","1701","ITCHIMBÍA"
"170114","1701","JIPIJAPA"
"170115","1701","KENNEDY"
"170116","1701","LA ARGELIA"
"170117","1701","LA CONCEPCIÓN"
"170118","1701","LA ECUATORIANA"
"170119","1701","LA FERROVIARIA"
"170120","1701","LA LIBERTAD"
"170121","1701","LA MAGDALENA"
"170122","1701","LA MENA"
"170123","1701","MARISCAL SUCRE"
"170124","1701","PONCEANO"
"170125","1701","PUENGASÍ"
"170126","1701","QUITUMBE"
"170127","1701","RUMIPAMBA"
"170128","1701","SAN BARTOLO"
"170129","1701","SAN ISIDRO DEL INCA"
"170130","1701","SAN JUAN"
"170131","1701","SOLANDA"
"170132","1701","TURUBAMBA"
"170150","1701","QUITO DISTRITO METROPOLITANO"
"170151","1701","ALANGASÍ"
"170152","1701","AMAGUAÑA"
"170153","1701","ATAHUALPA"
"170154","1701","CALACALÍ"
"170155","1701","CALDERÓN"
"170156","1701","CONOCOTO"
"170157","1701","CUMBAYÁ"
"170158","1701","CHAVEZPAMBA"
"170159","1701","CHECA"
"170160","1701","EL QUINCHE"
"170161","1701","GUALEA"
"170162","1701","GUANGOPOLO"
"170163","1701","GUAYLLABAMBA"
"170164","1701","LA MERCED"
"170165","1701","LLANO CHICO"
"170166","1701","LLOA"
"170167","1701","MINDO"
"170168","1701","NANEGAL"
"170169","1701","NANEGALITO"
"170170","1701","NAYÓN"
"170171","1701","NONO"
"170172","1701","PACTO"
"170173","1701","PEDRO VICENTE MALDONADO"
"170174","1701","PERUCHO"
"170175","1701","PIFO"
"170176","1701","PÍNTAG"
"170177","1701","POMASQUI"
"170178","1701","PUÉLLARO"
"170179","1701","PUEMBO"
"170180","1701","SAN ANTONIO"
"170181","1701","SAN JOSÉ DE MINAS"
"170182","1701","SAN MIGUEL DE LOS BANCOS"
"170183","1701","TABABELA"
"170184","1701","TUMBACO"
"170185","1701","YARUQUÍ"
"170186","1701","ZAMBIZA"
"170187","1701","PUERTO QUITO"
"170201","1702","AYORA"
"170202","1702","CAYAMBE"
"170203","1702","JUAN MONTALVO"
"170250","1702","CAYAMBE"
"170251","1702","ASCÁZUBI"
"170252","1702","CANGAHUA"
"170253","1702","OLMEDO (PESILLO)"
"170254","1702","OTÓN"
"170255","1702","SANTA ROSA DE CUZUBAMBA"
"170350","1703","MACHACHI"
"170351","1703","ALÓAG"
"170352","1703","ALOASÍ"
"170353","1703","CUTUGLAHUA"
"170354","1703","EL CHAUPI"
"170355","1703","MANUEL CORNEJO ASTORGA (TANDAPI)"
"170356","1703","TAMBILLO"
"170357","1703","UYUMBICHO"
"170450","1704","TABACUNDO"
"170451","1704","LA ESPERANZA"
"170452","1704","MALCHINGUÍ"
"170453","1704","TOCACHI"
"170454","1704","TUPIGACHI"
"170501","1705","SANGOLQUÍ"
"170502","1705","SAN PEDRO DE TABOADA"
"170503","1705","SAN RAFAEL"
"170550","1705","SANGOLQUI"
"170551","1705","COTOGCHOA"
"170552","1705","RUMIPAMBA"
"170750","1707","SAN MIGUEL DE LOS BANCOS"
"170751","1707","MINDO"
"170752","1707","PEDRO VICENTE MALDONADO"
"170753","1707","PUERTO QUITO"
"170850","1708","PEDRO VICENTE MALDONADO"
"170950","1709","PUERTO QUITO"
"180101","1801","ATOCHA – FICOA"
"180102","1801","CELIANO MONGE"
"180103","1801","HUACHI CHICO"
"180104","1801","HUACHI LORETO"
"180105","1801","LA MERCED"
"180106","1801","LA PENÍNSULA"
"180107","1801","MATRIZ"
"180108","1801","PISHILATA"
"180109","1801","SAN FRANCISCO"
"180150","1801","AMBATO"
"180151","1801","AMBATILLO"
"180152","1801","ATAHUALPA (CHISALATA)"
"180153","1801","AUGUSTO N. MARTÍNEZ (MUNDUGLEO)"
"180154","1801","CONSTANTINO FERNÁNDEZ (CAB. EN CULLITAHUA)"
"180155","1801","HUACHI GRANDE"
"180156","1801","IZAMBA"
"180157","1801","JUAN BENIGNO VELA"
"180158","1801","MONTALVO"
"180159","1801","PASA"
"180160","1801","PICAIGUA"
"180161","1801","PILAGÜÍN (PILAHÜÍN)"
"180162","1801","QUISAPINCHA (QUIZAPINCHA)"
"180163","1801","SAN BARTOLOMÉ DE PINLLOG"
"180164","1801","SAN FERNANDO (PASA SAN FERNANDO)"
"180165","1801","SANTA ROSA"
"180166","1801","TOTORAS"
"180167","1801","CUNCHIBAMBA"
"180168","1801","UNAMUNCHO"
"180250","1802","BAÑOS DE AGUA SANTA"
"180251","1802","LLIGUA"
"180252","1802","RÍO NEGRO"
"180253","1802","RÍO VERDE"
"180254","1802","ULBA"
"180350","1803","CEVALLOS"
"180450","1804","MOCHA"
"180451","1804","PINGUILÍ"
"180550","1805","PATATE"
"180551","1805","EL TRIUNFO"
"180552","1805","LOS ANDES (CAB. EN POATUG)"
"180553","1805","SUCRE (CAB. EN SUCRE-PATATE URCU)"
"180650","1806","QUERO"
"180651","1806","RUMIPAMBA"
"180652","1806","YANAYACU - MOCHAPATA (CAB. EN YANAYACU)"
"180701","1807","PELILEO"
"180702","1807","PELILEO GRANDE"
"180750","1807","PELILEO"
"180751","1807","BENÍTEZ (PACHANLICA)"
"180752","1807","BOLÍVAR"
"180753","1807","COTALÓ"
"180754","1807","CHIQUICHA (CAB. EN CHIQUICHA GRANDE)"
"180755","1807","EL ROSARIO (RUMICHACA)"
"180756","1807","GARCÍA MORENO (CHUMAQUI)"
"180757","1807","GUAMBALÓ (HUAMBALÓ)"
"180758","1807","SALASACA"
"180801","1808","CIUDAD NUEVA"
"180802","1808","PÍLLARO"
"180850","1808","PÍLLARO"
"180851","1808","BAQUERIZO MORENO"
"180852","1808","EMILIO MARÍA TERÁN (RUMIPAMBA)"
"180853","1808","MARCOS ESPINEL (CHACATA)"
"180854","1808","PRESIDENTE URBINA (CHAGRAPAMBA -PATZUCUL)"
"180855","1808","SAN ANDRÉS"
"180856","1808","SAN JOSÉ DE POALÓ"
"180857","1808","SAN MIGUELITO"
"180950","1809","TISALEO"
"180951","1809","QUINCHICOTO"
"190101","1901","EL LIMÓN"
"190102","1901","ZAMORA"
"190150","1901","ZAMORA"
"190151","1901","CUMBARATZA"
"190152","1901","GUADALUPE"
"190153","1901","IMBANA (LA VICTORIA DE IMBANA)"
"190154","1901","PAQUISHA"
"190155","1901","SABANILLA"
"190156","1901","TIMBARA"
"190157","1901","ZUMBI"
"190158","1901","SAN CARLOS DE LAS MINAS"
"190250","1902","ZUMBA"
"190251","1902","CHITO"
"190252","1902","EL CHORRO"
"190253","1902","EL PORVENIR DEL CARMEN"
"190254","1902","LA CHONTA"
"190255","1902","PALANDA"
"190256","1902","PUCAPAMBA"
"190257","1902","SAN FRANCISCO DEL VERGEL"
"190258","1902","VALLADOLID"
"190259","1902","SAN ANDRÉS"
"190350","1903","GUAYZIMI"
"190351","1903","ZURMI"
"190352","1903","NUEVO PARAÍSO"
"190450","1904","28 DE MAYO (SAN JOSÉ DE YACUAMBI)"
"190451","1904","LA PAZ"
"190452","1904","TUTUPALI"
"190550","1905","YANTZAZA (YANZATZA)"
"190551","1905","CHICAÑA"
"190552","1905","EL PANGUI"
"190553","1905","LOS ENCUENTROS"
"190650","1906","EL PANGUI"
"190651","1906","EL GUISME"
"190652","1906","PACHICUTZA"
"190653","1906","TUNDAYME"
"190750","1907","ZUMBI"
"190751","1907","PAQUISHA"
"190752","1907","TRIUNFO-DORADO"
"190753","1907","PANGUINTZA"
"190850","1908","PALANDA"
"190851","1908","EL PORVENIR DEL CARMEN"
"190852","1908","SAN FRANCISCO DEL VERGEL"
"190853","1908","VALLADOLID"
"190854","1908","LA CANELA"
"190950","1909","PAQUISHA"
"190951","1909","BELLAVISTA"
"190952","1909","NUEVO QUITO"
"200150","2001","PUERTO BAQUERIZO MORENO"
"200151","2001","EL PROGRESO"
"200152","2001","ISLA SANTA MARÍA (FLOREANA) (CAB. EN PTO. VELASCO IBARRA)"
"200250","2002","PUERTO VILLAMIL"
"200251","2002","TOMÁS DE BERLANGA (SANTO TOMÁS)"
"200350","2003","PUERTO AYORA"
"200351","2003","BELLAVISTA"
"200352","2003","SANTA ROSA (INCLUYE LA ISLA BALTRA)"
"210150","2101","NUEVA LOJA"
"210151","2101","CUYABENO"
"210152","2101","DURENO"
"210153","2101","GENERAL FARFÁN"
"210154","2101","TARAPOA"
"210155","2101","EL ENO"
"210156","2101","PACAYACU"
"210157","2101","JAMBELÍ"
"210158","2101","SANTA CECILIA"
"210159","2101","AGUAS NEGRAS"
"210250","2102","EL DORADO DE CASCALES"
"210251","2102","EL REVENTADOR"
"210252","2102","GONZALO PIZARRO"
"210253","2102","LUMBAQUÍ"
"210254","2102","PUERTO LIBRE"
"210255","2102","SANTA ROSA DE SUCUMBÍOS"
"210350","2103","PUERTO EL CARMEN DEL PUTUMAYO"
"210351","2103","PALMA ROJA"
"210352","2103","PUERTO BOLÍVAR (PUERTO MONTÚFAR)"
"210353","2103","PUERTO RODRÍGUEZ"
"210354","2103","SANTA ELENA"
"210450","2104","SHUSHUFINDI"
"210451","2104","LIMONCOCHA"
"210452","2104","PAÑACOCHA"
"210453","2104","SAN ROQUE (CAB. EN SAN VICENTE)"
"210454","2104","SAN PEDRO DE LOS COFANES"
"210455","2104","SIETE DE JULIO"
"210550","2105","LA BONITA"
"210551","2105","EL PLAYÓN DE SAN FRANCISCO"
"210552","2105","LA SOFÍA"
"210553","2105","ROSA FLORIDA"
"210554","2105","SANTA BÁRBARA"
"210650","2106","EL DORADO DE CASCALES"
"210651","2106","SANTA ROSA DE SUCUMBÍOS"
"210652","2106","SEVILLA"
"210750","2107","TARAPOA"
"210751","2107","CUYABENO"
"210752","2107","AGUAS NEGRAS"
"220150","2201","PUERTO FRANCISCO DE ORELLANA (EL COCA)"
"220151","2201","DAYUMA"
"220152","2201","TARACOA (NUEVA ESPERANZA: YUCA)"
"220153","2201","ALEJANDRO LABAKA"
"220154","2201","EL DORADO"
"220155","2201","EL EDÉN"
"220156","2201","GARCÍA MORENO"
"220157","2201","INÉS ARANGO (CAB. EN WESTERN)"
"220158","2201","LA BELLEZA"
"220159","2201","NUEVO PARAÍSO (CAB. EN UNIÓN"
"220160","2201","SAN JOSÉ DE GUAYUSA"
"220161","2201","SAN LUIS DE ARMENIA"
"220201","2202","TIPITINI"
"220250","2202","NUEVO ROCAFUERTE"
"220251","2202","CAPITÁN AUGUSTO RIVADENEYRA"
"220252","2202","CONONACO"
"220253","2202","SANTA MARÍA DE HUIRIRIMA"
"220254","2202","TIPUTINI"
"220255","2202","YASUNÍ"
"220350","2203","LA JOYA DE LOS SACHAS"
"220351","2203","ENOKANQUI"
"220352","2203","POMPEYA"
"220353","2203","SAN CARLOS"
"220354","2203","SAN SEBASTIÁN DEL COCA"
"220355","2203","LAGO SAN PEDRO"
"220356","2203","RUMIPAMBA"
"220357","2203","TRES DE NOVIEMBRE"
"220358","2203","UNIÓN MILAGREÑA"
"220450","2204","LORETO"
"220451","2204","AVILA (CAB. EN HUIRUNO)"
"220452","2204","PUERTO MURIALDO"
"220453","2204","SAN JOSÉ DE PAYAMINO"
"220454","2204","SAN JOSÉ DE DAHUANO"
"220455","2204","SAN VICENTE DE HUATICOCHA"
"230101","2301","ABRAHAM CALAZACÓN"
"230102","2301","BOMBOLÍ"
"230103","2301","CHIGUILPE"
"230104","2301","RÍO TOACHI"
"230105","2301","RÍO VERDE"
"230106","2301","SANTO DOMINGO DE LOS COLORADOS"
"230107","2301","ZARACAY"
"230150","2301","SANTO DOMINGO DE LOS COLORADOS"
"230151","2301","ALLURIQUÍN"
"230152","2301","PUERTO LIMÓN"
"230153","2301","LUZ DE AMÉRICA"
"230154","2301","SAN JACINTO DEL BÚA"
"230155","2301","VALLE HERMOSO"
"230156","2301","EL ESFUERZO"
"230157","2301","SANTA MARÍA DEL TOACHI"
"240101","2401","BALLENITA"
"240102","2401","SANTA ELENA"
"240150","2401","SANTA ELENA"
"240151","2401","ATAHUALPA"
"240152","2401","COLONCHE"
"240153","2401","CHANDUY"
"240154","2401","MANGLARALTO"
"240155","2401","SIMÓN BOLÍVAR (JULIO MORENO)"
"240156","2401","SAN JOSÉ DE ANCÓN"
"240250","2402","LA LIBERTAD"
"240301","2403","CARLOS ESPINOZA LARREA"
"240302","2403","GRAL. ALBERTO ENRÍQUEZ GALLO"
"240303","2403","VICENTE ROCAFUERTE"
"240304","2403","SANTA ROSA"
"240350","2403","SALINAS"
"240351","2403","ANCONCITO"
"240352","2403","JOSÉ LUIS TAMAYO (MUEY)"
"900151","9001","LAS GOLONDRINAS"
"900351","9003","MANGA DEL CURA"
"900451","9004","EL PIEDRERO"
